"","date","real","model"
"536",1961-06-19,3010,2458.49665339061
"537",1961-06-20,2820,2259.38911232301
"538",1961-06-21,2760,2113.88655951958
"539",1961-06-22,2860,2018.97728594472
"540",1961-06-23,2960,2000.24261517357
"541",1961-06-24,3100,2020.16334633446
"542",1961-06-25,3080,2071.61587836522
"543",1961-06-26,2820,2104.64492841341
"544",1961-06-27,2680,2045.14928101621
"545",1961-06-28,2750,2071.12783156219
"546",1961-06-29,2920,2190.29473321749
"547",1961-06-30,3380,2425.20378955898
"548",1961-07-01,3050,2510.95762418647
"549",1961-07-02,2800,2345.92234476785
"550",1961-07-03,2550,2129.13002071214
"551",1961-07-04,2400,2088.94574525639
"552",1961-07-05,2360,1981.50993854583
"553",1961-07-06,2460,1839.45264542658
"554",1961-07-07,2560,1770.20988081398
"555",1961-07-08,2280,1703.29019078182
"556",1961-07-09,2040,1608.40650188927
"557",1961-07-10,1880,1515.9746638957
"558",1961-07-11,1830,1473.91198984804
"559",1961-07-12,1840,1469.29721232055
"560",1961-07-13,1760,1452.66350859023
"561",1961-07-14,1760,1436.76639289161
"562",1961-07-15,1900,1454.56422384637
"563",1961-07-16,2140,1641.0795553501
"564",1961-07-17,2050,1702.99804767704
"565",1961-07-18,2300,1764.85518285951
"566",1961-07-19,2210,1836.03340691781
"567",1961-07-20,2100,1854.44740196816
"568",1961-07-21,2030,1852.49508974168
"569",1961-07-22,2100,1840.15618743532
"570",1961-07-23,2020,1765.50053474324
"571",1961-07-24,1860,1638.40261371585
"572",1961-07-25,1750,1526.05103313963
"573",1961-07-26,1690,1461.95605889715
"574",1961-07-27,1640,1399.06492159604
"575",1961-07-28,1590,1368.57580468166
"576",1961-07-29,1620,1384.26151066806
"577",1961-07-30,1620,1382.63467061886
"578",1961-07-31,1860,1455.2147265718
"579",1961-08-01,1940,1555.31733488363
"580",1961-08-02,1880,1567.07632723506
"581",1961-08-03,1720,1487.01525480467
"582",1961-08-04,1620,1391.69980057835
"583",1961-08-05,1620,1343.05897921879
"584",1961-08-06,1580,1309.95334750082
"585",1961-08-07,1500,1267.95739856931
"586",1961-08-08,1450,1225.56301508251
"587",1961-08-09,1500,1195.45113750422
"588",1961-08-10,1520,1189.82513579091
"589",1961-08-11,1560,1216.21892415522
"590",1961-08-12,1600,1266.50888104985
"591",1961-08-13,1620,1473.51418599044
"592",1961-08-14,2440,1852.02579105094
"593",1961-08-15,3080,2362.05779701295
"594",1961-08-16,2540,2534.84023157975
"595",1961-08-17,2280,2405.68098423622
"596",1961-08-18,2230,2294.08107748394
"597",1961-08-19,2500,2426.67701603336
"598",1961-08-20,3060,2852.04376821123
"599",1961-08-21,2980,3142.06852031548
"600",1961-08-22,3080,3183.89658927966
"601",1961-08-23,2680,2979.82023586284
"602",1961-08-24,2460,2722.86817260763
"603",1961-08-25,2540,2527.92660459218
"604",1961-08-26,2340,2271.40849002297
"605",1961-08-27,2060,1979.66371513637
"606",1961-08-28,1870,1744.27857299433
"607",1961-08-29,1720,1573.94588238909
"608",1961-08-30,1660,1454.46161056629
"609",1961-08-31,1640,1371.08163307937
"610",1961-09-01,1570,1309.78021512276
"611",1961-09-02,1520,1258.56015030416
"612",1961-09-03,1460,1212.12838672595
"613",1961-09-04,1420,1168.77045509188
"614",1961-09-05,1360,1133.03025084038
"615",1961-09-06,1320,1133.52979809692
"616",1961-09-07,1360,1148.75366205598
"617",1961-09-08,1350,1195.01911279099
"618",1961-09-09,1360,1239.4569484661
"619",1961-09-10,1370,1192.68334643428
"620",1961-09-11,1350,1131.05371472493
