#      date    value 
cdo(1) remapnn: Nearest neighbor weights from lonlat (166x66) to lonlat (1x1) grid, with source mask (6265)
 2019-09-13 2008.15498407142 
 2019-09-14 2034.05903294947 
 2019-09-15 1983.99206079477 
 2019-09-16 1994.8784311661 
 2019-09-17 1964.68814982383 
 2019-09-18 1846.11532755077 
 2019-09-19 1695.87854329555 
 2019-09-20 1555.12198295492 
 2019-09-21 1435.68745211003 
 2019-09-22 1337.12773870806 
 2019-09-23 1259.17211013958 
 2019-09-24 1197.72767872438 
 2019-09-25 1146.72090741597 
 2019-09-26 1124.04546220771 
 2019-09-27 1106.72932310989 
 2019-09-28 1082.58985176282 
 2019-09-29 1074.21918179926 
 2019-09-30 1073.22762776332 
 2019-10-01 1091.80699347435 
 2019-10-02 1107.27642541706 
 2019-10-03 1102.89001676302 
 2019-10-04 1108.06484263181 
 2019-10-05 1157.06641290964 
 2019-10-06 1206.95890271352 
 2019-10-07 1229.90152839683 
 2019-10-08 1219.24127522877 
 2019-10-09 1218.87801177462 
 2019-10-10 1302.06690149806 
 2019-10-11 1371.60538308637 
 2019-10-12 1389.9322407908 
 2019-10-13 1455.46097760899 
 2019-10-14 1610.69668267001 
 2019-10-15 1743.76959387626 
 2019-10-16 1768.42151439975 
 2019-10-17 1750.84958157359 
 2019-10-18 1716.45239071325 
 2019-10-19 1648.63900519754 
 2019-10-20 1550.08923638762 
 2019-10-21 1436.68910955043 
 2019-10-22 1339.13743757546 
 2019-10-23 1266.070709396 
 2019-10-24 1207.44509840145 
 2019-10-25 1152.81851755492 
 2019-10-26 1101.88855189155 
 2019-10-27 1061.88306316775 
 2019-10-28 1029.59304279485 
 2019-10-29 1000.2033965081 
 2019-10-30 970.932067843171 
 2019-10-31 953.042810734552 
 2019-11-01 949.920013843609 
 2019-11-02 940.654984070937 
 2019-11-03 938.422541421213 
 2019-11-04 940.742470261754 
 2019-11-05 967.9446435342 
 2019-11-06 1055.53834030335 
 2019-11-07 1239.16639502286 
 2019-11-08 1508.17757833937 
 2019-11-09 1726.91019762256 
 2019-11-10 1916.82971012507 
 2019-11-11 1988.75967184575 
 2019-11-12 2009.58472808943 
 2019-11-13 2036.7989247342 
 2019-11-14 1971.20761498935 
 2019-11-15 1937.53952893643 
 2019-11-16 2037.13551772586 
 2019-11-17 2156.21458984287 
 2019-11-18 2204.61018586141 
 2019-11-19 2290.98022066916 
 2019-11-20 2379.5325196628 
 2019-11-21 2579.4749905464 
 2019-11-22 2784.10998953322 
 2019-11-23 2861.95116502351 
 2019-11-24 2940.01148902932 
 2019-11-25 2952.23444138887 
 2019-11-26 2786.57906546279 
 2019-11-27 2543.48149478642 
 2019-11-28 2327.64100395363 
 2019-11-29 2136.58436244108 
 2019-11-30 1988.96672436038 
 2019-12-01 1876.96318386126 
 2019-12-02 1786.43006188131 
 2019-12-03 1704.99089362188 
 2019-12-04 1637.20498774073 
 2019-12-05 1590.91635460628 
 2019-12-06 1561.01249899184 
 2019-12-07 1521.20216708965 
 2019-12-08 1460.72536907942 
 2019-12-09 1388.41483172538 
 2019-12-10 1327.1628215179 
 2019-12-11 1277.39257651146 
 2019-12-12 1254.78484911886 
 2019-12-13 1219.27303069985 
 2019-12-14 1204.52228327308 
 2019-12-15 1207.20035975527 
 2019-12-16 1197.8476985882 
 2019-12-17 1195.69634596968 
 2019-12-18 1185.60430200361 
 2019-12-19 1173.95225024808 
 2019-12-20 1171.45084098041 
 2019-12-21 1207.77602926722 
 2019-12-22 1268.82006954033 
 2019-12-23 1376.60171996723 
 2019-12-24 1639.10223774493 
 2019-12-25 2125.80294584647 
 2019-12-26 2521.6438510324 
 2019-12-27 2627.20491781901 
 2019-12-28 2580.9061648851 
 2019-12-29 2551.7479712807 
 2019-12-30 2543.43083281665 
 2019-12-31 2549.07150218062 
 2020-01-01 2599.42570008848 
 2020-01-02 2588.10607739383 
