"","month","real","model"
"337","1988-01",12.602,6.5680606412853
"338","1988-02",11.372,7.34598684862333
"339","1988-03",47.2,17.9248657892261
"340","1988-04",31.927,16.8460523469824
"341","1988-05",7.379,8.82420647235399
"342","1988-06",7.532,8.07762807934311
"343","1988-07",6.735,5.34664524204736
"344","1988-08",5.069,4.32364405468
"345","1988-09",6.408,3.83935117566454
"346","1988-10",4.953,2.38025594587853
"347","1988-11",5.127,2.10831101256229
"348","1988-12",6.177,5.04605934952469
"349","1989-01",13.932,4.54972988974571
"350","1989-02",6.674,3.32976639890673
"351","1989-03",7.64,3.11207548491575
"352","1989-04",6.726,3.68778282354959
"353","1989-05",11.609,6.15923643288808
"354","1989-06",7.826,4.52303585683224
"355","1989-07",6.839,3.863301275928
"356","1989-08",6.554,3.2580749653256
"357","1989-09",7.012,2.79140789074517
"358","1989-10",5.895,1.6514869507048
"359","1989-11",4.671,1.31291423892617
"360","1989-12",3.956,1.28803713760315
"361","1990-01",3.352,0.762177898559276
"362","1990-02",3.589,2.1149975645692
"363","1990-03",4.857,2.74283607346447
"364","1990-04",7.712,3.72959618506683
"365","1990-05",6.572,2.65224671223919
"366","1990-06",7.489,2.47176995827483
"367","1990-07",6.2,1.77039574034269
"368","1990-08",3.095,0.954350900740349
"369","1990-09",2.878,1.4958665573391
"370","1990-10",3.658,1.16442954791373
"371","1990-11",4.024,1.81037469855335
"372","1990-12",4.359,1.26500921782398
"373","1991-01",4.179,1.40361051481743
"374","1991-02",3.689,0.878647272152641
"375","1991-03",3.581,1.10515499804865
"376","1991-04",3.246,0.96369656003655
"377","1991-05",4.645,3.52999850749249
"378","1991-06",3.911,2.51301189516027
"379","1991-07",3.025,1.74370882564576
"380","1991-08",5.01,3.14410285587497
"381","1991-09",5.106,1.04275256718425
"382","1991-10",4.908,0.756182709584482
"383","1991-11",4.847,2.18244728391374
"384","1991-12",4.543,1.89123255489995
"385","1992-01",5.046,3.14340770195749
"386","1992-02",10.669,3.10893970383277
"387","1992-03",14.102,4.59805616037256
"388","1992-04",10.858,4.2296445783352
"389","1992-05",4.704,2.3719830905626
"390","1992-06",5.023,3.13381229702348
"391","1992-07",5.002,2.25771943196039
"392","1992-08",4.001,1.90639459155564
"393","1992-09",3.809,2.01952679624225
"394","1992-10",4.039,1.87172873183783
"395","1992-11",3.847,2.22378906544723
"396","1992-12",3.415,2.98852945189627
"397","1993-01",3.959,2.8189338111667
"398","1993-02",3.457,2.26430362790737
"399","1993-03",10.87,4.24484205535269
"400","1993-04",9.705,3.3969774466436
"401","1993-05",4.28,2.45010669622695
"402","1993-06",4.046,2.08478814043157
"403","1993-07",3.794,1.92789532056877
"404","1993-08",3.568,2.02932249646294
"405","1993-09",4.273,1.60612302356407
"406","1993-10",4.915,1.923475317936
"407","1993-11",4.696,1.40954797997701
"408","1993-12",4.576,4.00122192026882
"409","1994-01",9.102,4.13392846559478
"410","1994-02",8.906,3.43600656294292
"411","1994-03",8.481,3.75175964503167
"412","1994-04",16.64,6.71217487465018
"413","1994-05",6.648,4.51024972373657
"414","1994-06",4.834,2.89753513134101
"415","1994-07",4.169,2.77458219480889
"416","1994-08",4.266,1.95288448175755
"417","1994-09",4.645,1.31894299194683
"418","1994-10",4.302,1.51926406582893
"419","1994-11",3.445,1.03177509168611
"420","1994-12",3.856,1.59378048930901
"421","1995-01",3.634,1.93178917713905
"422","1995-02",3.902,2.94099269737719
"423","1995-03",3.508,3.97647046375319
"424","1995-04",4.461,5.04542964273711
"425","1995-05",8.027,4.63260060014594
"426","1995-06",7.056,5.42173401752627
"427","1995-07",4.681,3.4011766085356
"428","1995-08",4.023,3.05976796143536
"429","1995-09",6.511,6.88269549643601
"430","1995-10",6.852,3.9998350164456
"431","1995-11",6.296,5.43290001266703
"432","1995-12",13.697,5.18593900627827
"433","1996-01",17.661,5.08480017741384
"434","1996-02",6.096,4.25258731050648
"435","1996-03",19.936,6.32489600446239
"436","1996-04",68.847,24.3744950008722
"437","1996-05",37.719,18.4431637467463
"438","1996-06",10.926,13.4840931076346
"439","1996-07",6.491,10.0190122607329
"440","1996-08",6.486,8.5053892696511
"441","1996-09",6.671,6.29328163584242
"442","1996-10",7.59,7.19794163192828
"443","1996-11",10.997,6.74798709806494
"444","1996-12",9.552,4.74790561091223
"445","1997-01",7.76,3.2222968520791
"446","1997-02",12.254,7.58253539215894
"447","1997-03",24.089,9.71027252072007
"448","1997-04",23.459,12.3466733194074
"449","1997-05",12.408,11.2385175059696
"450","1997-06",6.781,6.6003931733868
"451","1997-07",21.784,21.2871708622941
"452","1997-08",9.828,13.2636066965577
"453","1997-09",7.255,7.56061638732097
"454","1997-10",7.337,5.66887740572772
"455","1997-11",7.004,5.87865137590004
"456","1997-12",9.452,10.7047331572769
"457","1998-01",8.724,6.30284181079016
"458","1998-02",6.525,5.14717540960612
"459","1998-03",6.829,6.54277767796822
"460","1998-04",8.235,5.5185642740103
"461","1998-05",5.429,3.95544336605473
"462","1998-06",5.72,4.81580507708386
